title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
Toy Story 4,1073394593,537%,5.4,200,434,40.40%,639,59.60%,2019,2010's
Transformers,709709780,355%,3.5,200,319,45.00%,390,55.00%,2007,2000's
Transformers: Age of Extinction,1104054072,526%,5.3,210,245,22.20%,859,77.80%,2014,2010's
Transformers: Dark of the Moon,1123794079,642%,6.4,175,352,31.40%,771,68.60%,2011,2010's
Transformers: Revenge of the Fallen,836303693,418%,4.2,200,402,48.10%,434,51.90%,2009,2000's
Transformers: The Last Knight,605425157,279%,2.8,217,130,21.50%,475,78.50%,2017,2010's
Trolls,347182886,278%,2.8,125,154,44.40%,193,55.60%,2016,2010's
Tron: Legacy,400063852,235%,2.4,170,172,43.00%,228,57.00%,2010,2010's
Troy,497409852,269%,2.7,185,133,26.80%,364,73.20%,2004,2000's
True Lies,378882411,316%,3.2,120,146,38.60%,233,61.40%,1994,1990's
Truth or Dare,94835301,2710%,27.1,3.5,40.7,42.90%,54.1,57.10%,2018,2010's
Twilight,408430415,1104%,11,37,194,47.50%,214,52.50%,2008,2000's
Twilight: Eclipse        ,698490000,442%,4.4,68,300.5,100.00%,398,132.40%,2010,2010's
Twilight: New Moon,711025481,1422%,14.2,50,298,41.90%,413,58.10%,2009,2000's
Twister,494580615,538%,5.4,92,242,48.90%,253,51.10%,1996,1990's
Uncharted,401748820,335%,3.3,120,149,37.00%,253,63.00%,2022,2020's
Under the Same Moon,23310000,1371%,13.7,1.7,12.6,54.00%,10.7,46.00%,2008,2000's
Up,735099102,420%,4.2,175,293,39.90%,442,60.10%,2009,2000's
Us,216581515,1083%,10.8,20,152.4,70.40%,64.2,29.60%,2019,2010's
Venom,856085151,738%,7.4,116,214,24.90%,643,75.10%,2018,2010's
Venom: Let There Be Carnage,506863592,461%,4.6,110,214,42.10%,293,57.90%,2021,2020's
Waitress,22179483,1109%,11.1,2,19.1,86.00%,3.1,14.00%,2007,2000's
WALL·E,521311890,290%,2.9,180,224,42.90%,298,57.10%,2008,2000's
Wanted,342463063,457%,4.6,75,135,39.30%,208,60.70%,2008,2000's
War for the Planet of the Apes,490719763,323%,3.2,152,147,29.90%,344,70.10%,2017,2010's
War of the Worlds,603873119,457%,4.6,132,234,38.80%,370,61.20%,2005,2000's
War Room,67217187,2241%,22.4,3,67.2,100.00%,0,0.00%,2015,2010's
Warcraft,439048914,274%,2.7,160,47,10.80%,392,89.20%,2016,2010's
What Women Want,374111707,534%,5.3,70,183,48.90%,191,51.10%,2000,2000's
When in Rome,43040000,2514%,25.1,1.3,32.7,100.00%,10.4,31.70%,2010,2010's
Who Framed Roger Rabbit,329803958,660%,6.6,50,156,47.40%,173,52.60%,1988,1980's
Wonder Woman,822854286,411%,4.1,200,413,50.20%,410,49.80%,2017,2010's
World War Z,540455876,284%,2.8,190,203,37.50%,338,62.50%,2013,2010's
Wreck-It Ralph,471222889,286%,2.9,165,189,40.20%,282,59.80%,2012,2010's
X-Men Origins: Wolverine,373062864,249%,2.5,150,180,48.20%,193,51.80%,2009,2000's
X-Men: Apocalypse,543934105,306%,3.1,178,155,28.60%,388,71.40%,2016,2010's
X-Men: Days of Future Past,746045700,364%,3.6,205,234,31.40%,512,68.60%,2014,2010's
X-Men: First Class,352616690,220%,2.2,160,146,41.50%,206,58.50%,2011,2010's
X-Men: The Last Stand,460435291,219%,2.2,210,234,50.90%,226,49.10%,2006,2000's
X2: X-Men United,407711549,371%,3.7,110,215,52.70%,193,47.30%,2003,2000's
xXx: Return of Xander Cage,346118277,407%,4.1,85,45,13.00%,301,87.00%,2017,2010's
Zootopia,1042533689,695%,7,150,341,32.70%,701,67.30%,2016,2010's
SuperMario Bros,1264350750,1264%,12.6,100,551,43.60%,713,56.40%,2023,2020's
Guardians of the Galaxy 3,666652514,267%,2.7,250,274,41.10%,392,58.80%,2023,2020's
Ant-Man: Quantumania,463525483,232%,2.3,200,214,46.20%,249,53.80%,2023,2020's
John Wick 4,427330689,427%,4.3,100,185,43.30%,241,56.40%,2023,2020's
