title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
Ocean's Thirteen,311312624,366%,3.7,85,117,37.60%,194,62.40%,2007,2000's
Ocean's Twelve,362744280,330%,3.3,110,126,34.60%,237,65.40%,2004,2000's
Once Upon a Time in Hollywood,377617598,393%,3.9,96,143,37.70%,235,62.30%,2019,2010's
Ouija,102529779,2051%,20.5,5,50.9,49.60%,51.7,50.40%,2014,2010's
Over the Hedge,339795890,425%,4.2,80,155,45.60%,185,54.40%,2006,2000's
Oz the Great and Powerful,493311825,247%,2.5,200,235,47.60%,258,52.40%,2013,2010's
Pacific Rim,411002906,206%,2.1,200,102,24.80%,309,75.20%,2013,2010's
Paranormal Activity ,193360000,1293333%,12933.3,0.015,107.9,55.60%,85.4,44.00%,2009,2000's
Paranormal Activity 2,177510000,5900%,59,3,84.8,47.90%,92.8,52.40%,2010,2010's
Paranormal Activity 3,156600000,4140%,41.4,5,104,50.30%,52.6,25.40%,2011,2010's
Paranormal Activity 4,142838957,2857%,28.6,5,53.9,38.00%,88.9,62.60%,2012,2010's
Paranormal Activity: The Marked Ones,90904854,1818%,18.2,5,32.5,35.70%,58.4,64.30%,2014,2010's
Parasite,117305012,1066%,10.7,11,18.3,15.60%,99,84.40%,2019,2010's
Pearl Harbor,449220945,321%,3.2,140,199,44.20%,251,55.80%,2001,2000's
Penguins of Madagascar,373515621,283%,2.8,132,84,22.40%,290,77.60%,2014,2010's
Peter Rabbit,351496066,703%,7,50,115,32.80%,236,67.20%,2018,2010's
Pirates of the Caribbean: At World's End,960996492,320%,3.2,300,309,32.20%,652,67.80%,2007,2000's
Pirates of the Caribbean: Dead Man's Chest,1066179747,474%,4.7,225,423,39.70%,643,60.30%,2006,2000's
Pirates of the Caribbean: Dead Men Tell No Tales,794881442,346%,3.5,230,173,21.70%,622,78.30%,2017,2010's
